_step;Recall Concepts;Precision Concepts;Total Loss;Concept Loss;Mean IoU;Foreground Dice;Concept Activations $F_1$-Score;Mean Dice;Concept Accuracy;Runtime;normalized_epoch;run_id;Concept Module;Segmentation Module;concept_criterion;use_soft_labels;unified_model;Dataset;epoch
1198;0.7228963847811045;0.4795202105809818;0.8145427770527058;0.8111273088120857;0.5997073884805043;0.2856793944040934;0.5655886024258566;0.6166288036108017;0.7653231576436917;7582.62075752;16;17m6p70g;Top-K AvgPool;Upscaled MultiLayer;BCEWithLogitsCertaintiesLoss;;;CUB_112;15
1798;0.4964597199357551;0.5883338447856384;0.400675398479519;0.3991097468068086;0.7011905209223429;0.20583533224960168;0.5270315029999748;0.7137528729438781;0.824305389935607;11455.985854242;24;qatqo9db;Top-K AvgPool;Upscaled MultiLayer;BCEWithLogitsLoss;;;CUB_112;23
599;0.71217918143586;0.46212262066555626;0.8438586934978058;0.8376390567805014;0.5073983776569366;0.3030496344467004;0.5475379148043826;0.5252502132455508;0.6911444669687575;3909.485712895;8;quos7n74;Top-K AvgPool;Upscaled MultiLayer;BCEWithLogitsCertaintiesLoss;--use-soft-labels;;CUB_112;7
599;0.6778177716770148;0.47009809188426704;0.890584299281762;0.8853087227213163;0.5329393805066744;0.3018684279918671;0.542475184431489;0.5504581173261006;0.7029125924159313;4412.549308171;8;sltpp8ev;Top-K AvgPool;Upscaled MultiLayer;BCEWithLogitsLoss;--use-soft-labels;;CUB_112;7
